Date,Open,High,Low,Close,Adj Close,Volume
2018-05-02,159000.000000,160500.000000,157000.000000,160000.000000,144186.968750,377086
2018-05-03,162500.000000,163000.000000,160000.000000,160000.000000,144186.968750,324816
2018-05-04,158000.000000,160000.000000,156500.000000,158000.000000,142384.625000,448848
2018-05-08,158500.000000,161000.000000,154500.000000,156000.000000,140582.281250,595219
2018-05-09,154500.000000,156000.000000,153500.000000,153500.000000,138329.359375,513770
2018-05-10,152500.000000,154000.000000,150500.000000,152000.000000,136977.593750,747954
2018-05-11,152000.000000,154000.000000,151500.000000,153000.000000,137878.796875,319288
2018-05-14,153500.000000,154500.000000,150500.000000,151000.000000,136076.437500,439028
2018-05-15,150000.000000,151500.000000,148000.000000,148500.000000,133823.531250,611470
2018-05-16,148500.000000,151500.000000,146000.000000,150500.000000,135625.859375,599945
2018-05-17,150500.000000,151000.000000,149500.000000,149500.000000,134724.687500,297968
2018-05-18,148500.000000,150000.000000,148000.000000,150000.000000,135175.265625,330193
2018-05-21,149500.000000,151000.000000,149000.000000,149000.000000,134274.109375,332251
2018-05-23,147000.000000,148500.000000,144000.000000,144500.000000,130218.843750,1062994
2018-05-24,144000.000000,144500.000000,139000.000000,140000.000000,126163.593750,1387498
2018-05-25,139500.000000,141000.000000,138500.000000,139000.000000,125262.429688,697859
2018-05-28,139000.000000,140500.000000,138000.000000,138500.000000,124811.843750,498199
2018-05-29,139500.000000,141000.000000,139000.000000,140000.000000,126163.593750,471953
2018-05-30,138500.000000,139500.000000,136000.000000,137500.000000,123910.664063,648596
2018-05-31,139000.000000,140000.000000,137500.000000,139000.000000,125262.429688,835047
2018-06-01,138500.000000,140000.000000,137500.000000,140000.000000,126163.593750,395619
2018-06-04,140000.000000,144000.000000,139000.000000,143000.000000,128867.085938,903195
2018-06-05,143500.000000,144000.000000,140500.000000,142500.000000,128416.507813,374748
2018-06-07,142000.000000,144000.000000,141500.000000,142500.000000,128416.507813,511413
2018-06-08,142000.000000,142500.000000,140000.000000,141000.000000,127064.765625,539842
2018-06-11,140000.000000,140500.000000,139000.000000,139500.000000,125712.992188,441032
2018-06-12,140000.000000,142000.000000,139500.000000,140500.000000,126614.164063,486396
2018-06-14,138500.000000,139000.000000,135000.000000,135000.000000,121657.742188,1036041
2018-06-15,136000.000000,136500.000000,133000.000000,134000.000000,120756.578125,762750
2018-06-18,134500.000000,136500.000000,134500.000000,135000.000000,121657.742188,497745
2018-06-19,134000.000000,135000.000000,131000.000000,131500.000000,118503.656250,781548
2018-06-20,130500.000000,131500.000000,129000.000000,129500.000000,116701.328125,595333
2018-06-21,129500.000000,130500.000000,127000.000000,127000.000000,114448.398438,608003
2018-06-22,126000.000000,131000.000000,125000.000000,130000.000000,117151.914063,716503
2018-06-25,129500.000000,130000.000000,128000.000000,129000.000000,116250.734375,563769
2018-06-26,128000.000000,131000.000000,127500.000000,129500.000000,116701.328125,703936
2018-06-27,129000.000000,130500.000000,125500.000000,127500.000000,114898.984375,935679
2018-06-28,126000.000000,126500.000000,123000.000000,125000.000000,113536.539063,1101059
2018-06-29,124500.000000,126000.000000,123500.000000,125500.000000,113990.687500,496503
2018-07-02,125000.000000,125500.000000,123000.000000,123500.000000,112174.109375,428578
2018-07-03,125500.000000,125500.000000,119500.000000,122000.000000,110811.664063,556533
2018-07-04,120500.000000,122500.000000,118000.000000,119500.000000,108540.937500,510210
2018-07-05,119000.000000,122000.000000,118000.000000,121500.000000,110357.523438,845590
2018-07-06,122500.000000,126000.000000,122500.000000,123500.000000,112174.109375,658197
2018-07-09,124000.000000,125000.000000,122500.000000,124500.000000,113082.398438,303024
2018-07-10,123500.000000,125500.000000,122500.000000,123500.000000,112174.109375,328075
2018-07-11,121000.000000,123000.000000,120500.000000,121500.000000,110357.523438,384762
2018-07-12,121500.000000,125000.000000,121000.000000,123000.000000,111719.953125,613187
2018-07-13,123500.000000,125000.000000,122000.000000,122500.000000,111265.820313,306680
2018-07-16,122500.000000,127500.000000,122500.000000,126000.000000,114444.843750,494043
2018-07-17,126000.000000,129000.000000,125000.000000,126500.000000,114898.984375,436989
2018-07-18,127000.000000,128500.000000,124000.000000,124000.000000,112628.250000,325090
2018-07-19,125000.000000,125500.000000,123500.000000,124000.000000,112628.250000,359064
2018-07-20,124500.000000,128500.000000,122500.000000,127000.000000,115353.132813,463776
2018-07-23,127500.000000,131000.000000,127000.000000,129500.000000,117623.867188,660426
2018-07-24,129500.000000,130000.000000,126500.000000,129500.000000,117623.867188,479217
2018-07-25,130000.000000,130500.000000,129000.000000,130500.000000,118532.148438,305338
2018-07-26,131000.000000,131500.000000,128000.000000,130000.000000,118078.015625,484321
2018-07-27,129500.000000,131500.000000,129000.000000,129500.000000,117623.867188,365369
2018-07-30,129000.000000,131000.000000,128500.000000,130500.000000,118532.148438,179748
2018-07-31,131000.000000,131000.000000,128500.000000,129500.000000,117623.867188,306556
2018-08-01,130000.000000,130500.000000,128000.000000,128500.000000,116715.578125,244440
2018-08-02,128000.000000,128500.000000,124000.000000,125500.000000,113990.687500,425332
2018-08-03,124000.000000,125500.000000,124000.000000,124000.000000,112628.250000,468331
2018-08-06,124500.000000,126000.000000,124000.000000,124500.000000,113082.398438,317150
2018-08-07,124000.000000,126000.000000,123500.000000,125000.000000,113536.539063,285278
2018-08-08,125500.000000,129500.000000,125500.000000,127500.000000,115807.273438,816582
2018-08-09,126500.000000,127500.000000,125500.000000,126000.000000,114444.843750,532068
2018-08-10,126000.000000,127000.000000,124500.000000,126000.000000,114444.843750,194355
2018-08-13,125000.000000,126000.000000,123000.000000,123500.000000,112174.109375,319273
2018-08-14,124500.000000,125000.000000,122500.000000,123000.000000,111719.953125,291859
2018-08-16,122000.000000,127000.000000,122000.000000,126500.000000,114898.984375,561446
2018-08-17,125500.000000,127000.000000,125000.000000,126500.000000,114898.984375,207735
2018-08-20,127500.000000,128000.000000,126000.000000,127500.000000,115807.273438,310969
2018-08-21,127000.000000,127500.000000,124000.000000,125500.000000,113990.687500,339831
2018-08-22,125500.000000,127000.000000,124500.000000,126000.000000,114444.843750,329800
2018-08-23,125500.000000,126000.000000,123000.000000,124500.000000,113082.398438,229027
2018-08-24,123500.000000,124500.000000,123000.000000,124500.000000,113082.398438,232363
2018-08-27,125000.000000,125500.000000,123500.000000,124000.000000,112628.250000,226756
2018-08-28,125000.000000,127000.000000,124000.000000,125000.000000,113536.539063,402853
2018-08-29,125000.000000,125000.000000,123500.000000,124000.000000,112628.250000,309579
2018-08-30,124000.000000,125000.000000,123000.000000,123500.000000,112174.109375,385998
2018-08-31,124000.000000,126000.000000,123000.000000,125000.000000,113536.539063,529278
2018-09-03,124500.000000,126000.000000,123500.000000,125000.000000,113536.539063,264041
2018-09-04,125500.000000,127000.000000,124500.000000,126500.000000,114898.984375,297393
2018-09-05,126500.000000,131000.000000,126500.000000,129000.000000,117169.710938,871735
2018-09-06,130000.000000,136000.000000,130000.000000,134000.000000,121711.179688,935048
2018-09-07,136000.000000,137000.000000,131500.000000,133000.000000,120802.882813,793026
2018-09-10,131500.000000,133500.000000,130000.000000,131000.000000,118986.304688,320236
2018-09-11,130000.000000,130500.000000,128000.000000,128000.000000,116261.414063,514468
2018-09-12,128500.000000,131000.000000,128000.000000,129500.000000,117623.867188,340635
2018-09-13,130500.000000,130500.000000,128000.000000,128500.000000,116715.578125,411245
2018-09-14,129500.000000,131000.000000,129000.000000,129500.000000,117623.867188,259936
2018-09-17,129000.000000,129500.000000,128000.000000,128500.000000,116715.578125,305158
2018-09-18,128500.000000,130000.000000,128000.000000,128000.000000,116261.414063,368661
2018-09-19,128500.000000,129000.000000,125500.000000,126500.000000,114898.984375,420484
2018-09-20,126500.000000,130000.000000,126000.000000,129000.000000,117169.710938,378436
2018-09-21,131000.000000,131000.000000,127500.000000,129000.000000,117169.710938,765535
2018-09-27,130000.000000,130500.000000,128500.000000,130500.000000,118532.148438,465760
2018-09-28,130000.000000,130500.000000,128000.000000,129500.000000,117623.867188,295867
2018-10-01,130000.000000,130000.000000,128500.000000,129000.000000,117169.710938,233662
2018-10-02,128500.000000,129500.000000,128000.000000,128500.000000,116715.578125,215297
2018-10-04,128500.000000,129000.000000,122500.000000,124500.000000,113082.398438,671140
2018-10-05,126000.000000,126000.000000,123000.000000,124500.000000,113082.398438,284015
2018-10-08,123500.000000,124000.000000,121500.000000,122000.000000,110811.664063,386710
2018-10-10,122500.000000,123000.000000,119500.000000,120000.000000,108995.085938,536984
2018-10-11,118500.000000,120500.000000,116000.000000,116000.000000,105361.914063,701523
2018-10-12,115500.000000,118000.000000,114500.000000,115500.000000,104907.773438,672541
2018-10-15,116500.000000,117000.000000,111500.000000,113500.000000,103091.187500,697689
2018-10-16,114000.000000,117500.000000,113500.000000,116500.000000,105816.062500,503295
2018-10-17,117500.000000,119500.000000,116500.000000,118500.000000,107632.640625,385112
2018-10-18,118000.000000,118500.000000,114000.000000,116000.000000,105361.914063,708181
2018-10-19,114500.000000,117500.000000,114000.000000,115500.000000,104907.773438,493067
2018-10-22,115000.000000,118000.000000,114500.000000,118000.000000,107178.500000,378176
2018-10-23,117000.000000,118000.000000,114000.000000,116500.000000,105816.062500,575347
2018-10-24,117500.000000,118500.000000,116000.000000,117000.000000,106270.203125,776694
2018-10-25,116000.000000,116000.000000,102500.000000,110000.000000,99912.164063,1633392
2018-10-26,110000.000000,113000.000000,107500.000000,108000.000000,98095.570313,867074
2018-10-29,106000.000000,108500.000000,104000.000000,106000.000000,96279.000000,876545
2018-10-30,106500.000000,109500.000000,106000.000000,107500.000000,97641.429688,429587
2018-10-31,106500.000000,107000.000000,103500.000000,106500.000000,96733.132813,752213
2018-11-01,106500.000000,109000.000000,104500.000000,108500.000000,98549.726563,487868
2018-11-02,107000.000000,110500.000000,106500.000000,110000.000000,99912.164063,586857
2018-11-05,107000.000000,107500.000000,103500.000000,104000.000000,94462.406250,921610
2018-11-06,105000.000000,108500.000000,104500.000000,107500.000000,97641.429688,775343
2018-11-07,106500.000000,108000.000000,105500.000000,107500.000000,97641.429688,619311
2018-11-08,109000.000000,109000.000000,105500.000000,105500.000000,95824.835938,588487
2018-11-09,106000.000000,110000.000000,104500.000000,105000.000000,95370.695313,668003
2018-11-12,105000.000000,105500.000000,100500.000000,102000.000000,92645.820313,792697
2018-11-13,99900.000000,102500.000000,99600.000000,102500.000000,93099.968750,397209
2018-11-14,103500.000000,104500.000000,100500.000000,101500.000000,92191.671875,637102
2018-11-15,101000.000000,103500.000000,100500.000000,103000.000000,93554.109375,449187
2018-11-16,104000.000000,104500.000000,102000.000000,103000.000000,93554.109375,361507
2018-11-19,103000.000000,103500.000000,101000.000000,101500.000000,92191.671875,555495
2018-11-20,101000.000000,101000.000000,97100.000000,97500.000000,88558.500000,1295271
2018-11-21,96500.000000,97900.000000,95800.000000,97800.000000,88830.984375,883111
2018-11-22,98000.000000,98000.000000,92500.000000,92800.000000,84289.523438,1527106
2018-11-23,92800.000000,94000.000000,92600.000000,93700.000000,85106.992188,558490
2018-11-26,93600.000000,95800.000000,93500.000000,95100.000000,86378.601563,663188
2018-11-27,95900.000000,101500.000000,95800.000000,101000.000000,91737.531250,1436195
2018-11-28,100500.000000,101500.000000,99800.000000,101000.000000,91737.531250,602728
2018-11-29,102000.000000,103000.000000,99100.000000,100000.000000,90829.242188,811011
2018-11-30,103000.000000,108000.000000,102500.000000,107000.000000,97187.281250,3017114
2018-12-03,108500.000000,109000.000000,106500.000000,108500.000000,98549.726563,723565
2018-12-04,108500.000000,108500.000000,105500.000000,107500.000000,97641.429688,612079
2018-12-05,106000.000000,108500.000000,106000.000000,107500.000000,97641.429688,519108
2018-12-06,107500.000000,112500.000000,106000.000000,110500.000000,100366.296875,896541
2018-12-07,110000.000000,112000.000000,109500.000000,111000.000000,100820.453125,566780
2018-12-10,108500.000000,111000.000000,108500.000000,110500.000000,100366.296875,367098
2018-12-11,109500.000000,112500.000000,108500.000000,111500.000000,101274.601563,372363
2018-12-12,111500.000000,121500.000000,111000.000000,118500.000000,107632.640625,1558536
2018-12-13,116500.000000,120000.000000,116500.000000,118500.000000,107632.640625,1093587
2018-12-14,119000.000000,120000.000000,115000.000000,116500.000000,105816.062500,534429
2018-12-17,115000.000000,118500.000000,112500.000000,116500.000000,105816.062500,602835
2018-12-18,117500.000000,120000.000000,116000.000000,118000.000000,107178.500000,889260
2018-12-19,118500.000000,123500.000000,118500.000000,123000.000000,111719.953125,841175
2018-12-20,121500.000000,124500.000000,120500.000000,121500.000000,110357.523438,682779
2018-12-21,120500.000000,122500.000000,119500.000000,122500.000000,111265.820313,643918
2018-12-24,122000.000000,124000.000000,121500.000000,123000.000000,111719.953125,301455
2018-12-26,121500.000000,122000.000000,118500.000000,120000.000000,108995.085938,550552
2018-12-27,118000.000000,120000.000000,117500.000000,118500.000000,110392.460938,458613
2018-12-28,118500.000000,120000.000000,117500.000000,118500.000000,110392.460938,398062
2019-01-02,117500.000000,118000.000000,113500.000000,114000.000000,106200.328125,565493
2019-01-03,113000.000000,118500.000000,113000.000000,116500.000000,108529.289063,608591
2019-01-04,116000.000000,123000.000000,116000.000000,119500.000000,111324.031250,1326978
2019-01-07,121000.000000,121500.000000,119500.000000,120500.000000,112255.609375,428416
2019-01-08,121500.000000,123500.000000,118500.000000,119500.000000,111324.031250,582117
2019-01-09,119000.000000,124000.000000,119000.000000,123000.000000,114584.570313,846392
2019-01-10,121500.000000,123000.000000,119500.000000,123000.000000,114584.570313,648837
2019-01-11,123000.000000,124500.000000,122000.000000,123000.000000,114584.570313,440529
2019-01-14,122500.000000,124000.000000,121000.000000,121500.000000,113187.195313,297709
2019-01-15,121000.000000,128000.000000,120500.000000,127500.000000,118776.695313,828015
2019-01-16,127000.000000,129000.000000,126000.000000,128500.000000,119708.281250,397335
2019-01-17,128500.000000,130000.000000,127500.000000,129500.000000,120639.851563,513711
2019-01-18,129500.000000,131500.000000,129500.000000,131000.000000,122037.226563,556106
2019-01-21,132000.000000,132000.000000,126500.000000,127000.000000,118310.906250,657273
2019-01-22,126500.000000,128000.000000,125000.000000,127500.000000,118776.695313,446263
2019-01-23,128000.000000,130000.000000,127000.000000,129000.000000,120174.054688,422209
2019-01-24,128000.000000,130000.000000,124500.000000,130000.000000,121105.648438,778826
2019-01-25,127500.000000,130000.000000,127500.000000,128500.000000,119708.281250,535338
2019-01-28,128500.000000,130000.000000,125500.000000,126500.000000,117845.101563,541428
2019-01-29,126500.000000,128500.000000,126000.000000,128000.000000,119242.476563,445671
2019-01-30,128500.000000,129500.000000,126500.000000,129500.000000,120639.851563,463542
2019-01-31,130000.000000,131000.000000,128500.000000,129500.000000,120639.851563,509642
2019-02-01,129500.000000,130000.000000,128500.000000,129500.000000,120639.851563,392755
2019-02-07,128500.000000,129000.000000,125500.000000,126000.000000,117379.320313,530165
2019-02-08,125500.000000,126500.000000,124500.000000,125500.000000,116913.523438,365392
2019-02-11,126000.000000,129000.000000,126000.000000,127500.000000,118776.695313,425879
2019-02-12,129000.000000,129000.000000,126500.000000,128500.000000,119708.281250,443035
2019-02-13,128500.000000,128500.000000,124000.000000,124500.000000,115981.945313,620173
2019-02-14,123500.000000,124000.000000,119500.000000,121500.000000,113187.195313,1072937
2019-02-15,121000.000000,121500.000000,120000.000000,121000.000000,112721.414063,446734
2019-02-18,121000.000000,122000.000000,118500.000000,120500.000000,112255.609375,557734
2019-02-19,119500.000000,120500.000000,119000.000000,119500.000000,111324.031250,470357
2019-02-20,119500.000000,121500.000000,119000.000000,119000.000000,110858.242188,735087
2019-02-21,118500.000000,121000.000000,118500.000000,120000.000000,111789.828125,588691
2019-02-22,119500.000000,121500.000000,119500.000000,121000.000000,112721.414063,353516
2019-02-25,120500.000000,122500.000000,120000.000000,121000.000000,112721.414063,314081
2019-02-26,121500.000000,124000.000000,121500.000000,122500.000000,114118.789063,781497
2019-02-27,128000.000000,130000.000000,126000.000000,129000.000000,120174.054688,1233285
2019-02-28,127500.000000,129000.000000,126000.000000,126500.000000,117845.101563,946738
2019-03-04,125000.000000,126000.000000,121000.000000,122000.000000,113652.976563,937284
2019-03-05,121500.000000,122000.000000,119500.000000,121500.000000,113187.195313,428825
2019-03-06,122500.000000,126500.000000,121500.000000,124500.000000,115981.945313,599316
2019-03-07,126500.000000,129000.000000,123000.000000,125500.000000,116913.523438,791500
2019-03-08,125000.000000,125000.000000,120000.000000,120000.000000,111789.828125,467762
2019-03-11,121000.000000,121500.000000,119000.000000,121000.000000,112721.414063,281873
2019-03-12,121500.000000,125500.000000,121500.000000,125500.000000,116913.523438,621289
2019-03-13,126000.000000,126000.000000,120500.000000,122500.000000,114118.789063,797741
2019-03-14,124000.000000,124000.000000,117000.000000,119000.000000,110858.242188,1326511
2019-03-15,119000.000000,122000.000000,118000.000000,121000.000000,112721.414063,877363
2019-03-18,122000.000000,124000.000000,121500.000000,124000.000000,115516.156250,383652
2019-03-19,124000.000000,125000.000000,123000.000000,124000.000000,115516.156250,303901
2019-03-20,123000.000000,124000.000000,121000.000000,124000.000000,115516.156250,316345
2019-03-21,124000.000000,126000.000000,122500.000000,124500.000000,115981.945313,321599
2019-03-22,124000.000000,125500.000000,121500.000000,123500.000000,115050.359375,486194
2019-03-25,121000.000000,122000.000000,119000.000000,120000.000000,111789.828125,458292
2019-03-26,120000.000000,121000.000000,118500.000000,118500.000000,110392.460938,463924
2019-03-27,118500.000000,119500.000000,118000.000000,118500.000000,110392.460938,236825
2019-03-28,118500.000000,120000.000000,118000.000000,119500.000000,111324.031250,304740
2019-03-29,120000.000000,122000.000000,119000.000000,119500.000000,111324.031250,432923
2019-04-01,120000.000000,121000.000000,119000.000000,120500.000000,112255.609375,363959
2019-04-02,119500.000000,120000.000000,117500.000000,119000.000000,110858.242188,374423
2019-04-03,118500.000000,124000.000000,118000.000000,124000.000000,115516.156250,651778
2019-04-04,123000.000000,125000.000000,122500.000000,123500.000000,115050.359375,464644
2019-04-05,124500.000000,126500.000000,124000.000000,126000.000000,117379.320313,468793
2019-04-08,126500.000000,128500.000000,125500.000000,128000.000000,119242.476563,455205
